,English,Turkish
0,a,A
1,ability,yetenek
2,able,hünerli
3,about,hakkında
4,above,üstünde
5,accept,kabul etmek
6,according,binaen
7,account,hesap
8,across,karşısında
9,act,davranmak
10,action,aksiyon
11,activity,aktivite
12,actually,Aslında
13,add,eklemek
14,address,adres
15,administration,yönetim
16,admit,itiraf etmek
17,adult,yetişkin
18,affect,etkilemek
19,after,sonrasında
20,again,Tekrar
21,against,aykırı
22,age,yaş
23,agency,Ajans
24,agent,ajan
25,ago,evvel
26,agree,kabul etmek
27,agreement,anlaşma
28,ahead,ilerde
29,air,hava
30,all,Tümü
31,allow,izin vermek
32,almost,neredeyse
33,alone,yalnız
34,along,birlikte
35,already,çoktan
36,also,Ayrıca
37,although,rağmen
38,always,Her zaman
39,American,Amerikan
40,among,arasında
41,amount,miktar
42,analysis,analiz
43,and,Ve
44,animal,hayvan
45,another,bir diğer
46,answer,cevap
47,any,herhangi
48,anyone,herhangi biri
49,anything,herhangi bir şey
50,appear,belli olmak
51,apply,uygula
52,approach,yaklaşmak
53,area,alan
54,argue,tartışmak
55,arm,kol
56,around,etrafında
57,arrive,varmak
58,art,sanat
59,article,madde
60,artist,sanatçı
61,as,gibi
62,ask,sormak
63,assume,farz etmek
64,at,de
65,attack,saldırı
66,attention,dikkat
67,attorney,avukat
68,audience,kitle
69,author,yazar
70,authority,yetki
71,available,mevcut
72,avoid,kaçınmak
73,away,uzak
74,baby,Bebek
75,back,geri
76,bad,kötü
77,bag,çanta
78,ball,top
79,bank,banka
80,bar,çubuk
81,base,temel
82,be,olmak
83,beat,vurmak
84,beautiful,Güzel
85,because,Çünkü
86,become,haline gelmek
87,bed,yatak
88,before,önce
89,begin,başlamak
90,behavior,davranış
91,behind,arka
92,believe,inanmak
93,benefit,fayda
94,best,en iyi
95,better,daha iyi
96,between,arasında
97,beyond,öte
98,big,büyük
99,bill,fatura
100,billion,milyar
101,bit,biraz
102,black,siyah
103,blood,kan
104,blue,mavi
105,board,pano
106,body,vücut
107,book,kitap
108,born,doğmak
109,both,ikisi birden
110,box,kutu
111,boy,erkek çocuk
112,break,kırmak
113,bring,getirmek
114,brother,Erkek kardeş
115,budget,bütçe
116,build,inşa etmek
117,building,bina
118,business,işletme
119,but,Ancak
120,buy,satın almak
121,by,ile
122,call,Arama
123,camera,kamera
124,campaign,kampanya
125,can,olabilmek
126,cancer,kanser
127,candidate,aday
128,capital,başkent
129,car,araba
130,card,kart
131,care,bakım
132,career,kariyer
133,carry,taşımak
134,case,dava
135,catch,yakalamak
136,cause,neden
137,cell,hücre
138,center,merkez
139,central,merkezi
140,century,yüzyıl
141,certain,kesin
142,certainly,kesinlikle
143,chair,sandalye
144,challenge,meydan okumak
145,chance,şans
146,change,değiştirmek
147,character,karakter
148,charge,şarj
149,check,kontrol etmek
150,child,çocuk
151,choice,seçenek
152,choose,seçmek
153,church,kilise
154,citizen,vatandaş
155,city,şehir
156,civil,sivil
157,claim,iddia
158,class,sınıf
159,clear,temizlemek
160,clearly,Açıkça
161,close,kapalı
162,coach,koç
163,cold,soğuk
164,collection,Toplamak
165,college,kolej
166,color,renk
167,come,Gelmek
168,commercial,reklam
169,common,yaygın
170,community,toplum
171,company,şirket
172,compare,karşılaştırmak
173,computer,bilgisayar
174,concern,kaygı
175,condition,durum
176,conference,konferans
177,Congress,Kongre
178,consider,dikkate almak
179,consumer,tüketici
180,contain,içermek
181,continue,devam etmek
182,control,kontrol
183,cost,maliyet
184,could,abilir
185,country,ülke
186,couple,çift
187,course,kurs
188,court,mahkeme
189,cover,kapak
190,create,yaratmak
191,crime,suç
192,cultural,kültürel
193,culture,kültür
194,cup,bardak
195,current,akım
196,customer,müşteri
197,cut,kesmek
198,dark,karanlık
199,data,veri
200,daughter,kız çocuğu
201,day,gün
202,dead,ölü
203,deal,anlaşmak
204,death,ölüm
205,debate,çekişme
206,decade,on yıl
207,decide,karar vermek
208,decision,karar
209,deep,derin
210,defense,savunma
211,degree,derece
212,Democrat,Demokrat
213,democratic,demokratik
214,describe,betimlemek
215,design,tasarım
216,despite,aksine
217,detail,detay
218,determine,belirlemek
219,develop,geliştirmek
220,development,gelişim
221,die,ölmek
222,difference,fark
223,different,farklı
224,difficult,zor
225,dinner,akşam yemeği
226,direction,yön
227,director,müdür
228,discover,keşfetmek
229,discuss,tartışmak
230,discussion,tartışma
231,disease,hastalık
232,do,Yapmak
233,doctor,doktor
234,dog,köpek
235,door,kapı
236,down,aşağı
237,draw,çizmek
238,dream,rüya
239,drive,sürmek
240,drop,düşürmek
241,drug,ilaç
242,during,sırasında
243,each,her biri
244,early,erken
245,east,doğu
246,easy,kolay
247,eat,yemek yemek
248,economic,ekonomik
249,economy,ekonomi
250,edge,kenar
251,education,eğitim
252,effect,etki
253,effort,çaba
254,eight,sekiz
255,either,herhangi biri
256,election,seçim
257,else,başka
258,employee,çalışan
259,end,son
260,energy,enerji
261,enjoy,Eğlence
262,enough,yeterli
263,enter,girmek
264,entire,bütün
265,environment,çevre
266,environmental,çevresel
267,especially,özellikle
268,establish,kurmak
269,even,eşit
270,evening,akşam
271,event,etkinlik
272,ever,durmadan
273,every,Her
274,everybody,herkes
275,everyone,herkes
276,everything,her şey
277,evidence,kanıt
278,exactly,Kesinlikle
279,example,örnek
280,executive,yönetici
281,exist,var olmak
282,expect,beklemek
283,experience,deneyim
284,expert,uzman
285,explain,açıklamak
286,eye,göz
287,face,yüz
288,fact,hakikat
289,factor,faktör
290,fail,hata
291,fall,düşmek
292,family,aile
293,far,uzak
294,fast,hızlı
295,father,baba
296,fear,korku
297,federal,federal
298,feel,hissetmek
299,feeling,his
300,few,bir kaç
301,field,alan
302,fight,kavga
303,figure,figür
304,fill,doldurmak
305,film,film
306,final,son
307,finally,Sonunda
308,financial,parasal
309,find,bulmak
310,fine,iyi
311,finger,parmak
312,finish,sona ermek
313,fire,ateş
314,firm,firma
315,first,Birinci
316,fish,balık
317,five,beş
318,floor,zemin
319,fly,uçmak
320,focus,odak
321,follow,takip etmek
322,food,yiyecek
323,foot,ayak
324,for,için
325,force,güç
326,foreign,yabancı
327,forget,unutmak
328,form,biçim
329,former,önceki
330,forward,ileri
331,four,dört
332,free,özgür
333,friend,arkadaş
334,from,itibaren
335,front,ön
336,full,tam dolu
337,fund,"fon, sermaye"
338,future,gelecek
339,game,oyun
340,garden,bahçe
341,gas,gaz
342,general,genel
343,generation,nesil
344,get,elde etmek
345,girl,kız
346,give,vermek
347,glass,bardak
348,go,Gitmek
349,goal,amaç
350,good,iyi
351,government,devlet
352,great,Harika
353,green,yeşil
354,ground,zemin
355,group,grup
356,grow,büyümek
357,growth,büyüme
358,guess,tahmin etmek
359,gun,silah
360,guy,adam
361,hair,saç
362,half,yarım
363,hand,el
364,hang,asmak
365,happen,olmak
366,happy,mutlu
367,hard,zor
368,have,sahip olmak
369,he,O
370,head,KAFA
371,health,sağlık
372,hear,duymak
373,heart,kalp
374,heat,sıcaklık
375,heavy,ağır
376,help,yardım
377,her,o
378,here,Burada
379,herself,kendini
380,high,yüksek
381,him,o
382,himself,kendisi
383,his,onun
384,history,tarih
385,hit,vurmak
386,hold,tutmak
387,home,Ev
388,hope,umut
389,hospital,hastane
390,hot,sıcak
391,hotel,otel
392,hour,saat
393,house,ev
394,how,Nasıl
395,however,Yine de
396,huge,büyük
397,human,insan
398,hundred,yüz
399,husband,koca
400,I,BEN
401,idea,fikir
402,identify,tanımlamak
403,if,eğer
404,image,resim
405,imagine,hayal etmek
406,impact,darbe
407,important,önemli
408,improve,geliştirmek
409,in,içinde
410,include,katmak
411,including,içermek
412,increase,arttırmak
413,indeed,Aslında
414,indicate,belirtmek
415,individual,bireysel
416,industry,endüstri
417,information,bilgi
418,inside,içeri
419,instead,yerine
420,institution,kurum
421,interest,faiz
422,interesting,ilginç
423,international,uluslararası
424,interview,röportaj
425,into,içine
426,investment,yatırım
427,involve,içermek
428,issue,sorun
429,it,BT
430,item,öğe
431,its,onun
432,itself,kendisi
433,job,iş
434,join,katılmak
435,just,Sadece
436,keep,kale
437,key,anahtar
438,kid,çocuk
439,kill,öldürmek
440,kind,tür
441,kitchen,mutfak
442,know,Bilmek
443,knowledge,bilgi
444,land,kara
445,language,dil
446,large,büyük
447,last,son
448,late,geç
449,later,Daha sonra
450,laugh,gülmek
451,law,kanun
452,lawyer,avukat
453,lay,sermek
454,lead,yol göstermek
455,leader,Önder
456,learn,öğrenmek
457,least,en az
458,leave,ayrılmak
459,left,sol
460,leg,bacak
461,legal,yasal
462,less,az
463,let,izin vermek
464,letter,mektup
465,level,seviye
466,lie,yalan
467,life,hayat
468,light,ışık
469,like,beğenmek
470,likely,büyük ihtimalle
471,line,astar
472,list,liste
473,listen,Dinlemek
474,little,biraz
475,live,canlı
476,local,yerel
477,long,uzun
478,look,Bakmak
479,lose,kaybetmek
480,loss,kayıp
481,lot,pay
482,love,Aşk
483,low,Düşük
484,machine,makine
485,magazine,dergi
486,main,ana
487,maintain,sürdürmek
488,major,ana
489,majority,çoğunluk
490,make,yapmak
491,man,Adam
492,manage,üstesinden gelmek
493,management,yönetmek
494,manager,müdür
495,many,birçok
496,market,pazar
497,marriage,evlilik
498,material,malzeme
499,matter,konu
500,may,mayıs
501,maybe,Belki
502,me,Ben
503,mean,Anlam
504,measure,ölçüm
505,media,medya
506,medical,tıbbi
507,meet,tanışmak
508,meeting,toplantı
509,member,üye
510,memory,hafıza
511,mention,değinmek
512,message,İleti
513,method,yöntem
514,middle,orta
515,might,belki
516,military,askeri
517,million,milyon
518,mind,akıl
519,minute,dakika
520,miss,kayıp
521,mission,misyon
522,model,modeli
523,modern,modern
524,moment,an
525,money,para
526,month,ay
527,more,Daha
528,morning,Sabah
529,most,en
530,mother,anne
531,mouth,ağız
532,move,taşınmak
533,movement,hareket
534,movie,film
535,Mr,Bay
536,Mrs,Bayan
537,much,fazla
538,music,müzik
539,must,mutlak
540,my,Benim
541,myself,kendim
542,name,isim
543,nation,ulus
544,national,ulusal
545,natural,doğal
546,nature,doğa
547,near,yakın
548,nearly,neredeyse
549,necessary,gerekli
550,need,ihtiyaç
551,network,ağ
552,never,Asla
553,new,yeni
554,news,haberler
555,newspaper,gazete
556,next,Sonraki
557,nice,Güzel
558,night,gece
559,no,HAYIR
560,none,hiçbiri
561,nor,ne de
562,north,kuzey
563,not,Olumsuz
564,note,Not
565,nothing,Hiçbir şey
566,notice,fark etme
567,now,Şimdi
568,n't,değil
569,number,sayı
570,occur,meydana gelmek
571,of,ile ilgili
572,off,kapalı
573,offer,teklif
574,office,ofis
575,officer,subay
576,official,resmi
577,often,sıklıkla
578,oh,ah
579,oil,yağ
580,ok,Tamam
581,old,eskimiş
582,on,Açık
583,once,bir kere
584,one,bir
585,only,sadece
586,onto,üzerine
587,open,açık
588,operation,operasyon
589,opportunity,fırsat
590,option,seçenek
591,or,veya
592,order,emir
593,organization,organizasyon
594,other,diğer
595,others,diğerleri
596,our,bizim
597,out,dışarı
598,outside,dıştan
599,over,üzerinde
600,own,sahip olmak
601,owner,mal sahibi
602,page,sayfa
603,pain,ağrı
604,painting,tablo
605,paper,kağıt
606,parent,ebeveyn
607,part,parça
608,participant,katılımcı
609,particular,özel
610,particularly,özellikle
611,partner,ortak
612,party,Parti
613,pass,geçmek
614,past,geçmiş
615,patient,hasta
616,pattern,model
617,pay,ödemek
618,peace,barış
619,people,insanlar
620,per,başına
621,perform,rol yapmak
622,performance,verim
623,perhaps,belki
624,period,dönem
625,person,kişi
626,personal,kişisel
627,phone,telefon
628,physical,fiziksel
629,pick,seçmek
630,picture,resim
631,piece,parça
632,place,yer
633,plan,plan
634,plant,bitki
635,play,oynamak
636,player,oyuncu
637,PM,ÖĞLEDEN SONRA
638,point,nokta
639,police,polis
640,policy,politika
641,political,siyasi
642,politics,siyaset
643,poor,fakir
644,popular,popüler
645,population,nüfus
646,position,konum
647,positive,pozitif
648,possible,olası
649,power,güç
650,practice,pratik
651,prepare,hazırlanmak
652,present,Sunmak
653,president,başkan
654,pressure,basınç
655,pretty,tatlı
656,prevent,önlemek
657,price,fiyat
658,private,özel
659,probably,muhtemelen
660,problem,sorun
661,process,işlem
662,produce,üretmek
663,product,ürün
664,production,üretme
665,professional,profesyonel
666,professor,profesör
667,program,programı
668,project,proje
669,property,mülk
670,protect,korumak
671,prove,kanıtlamak
672,provide,sağlamak
673,public,halk
674,pull,çekmek
675,purpose,amaç
676,push,itmek
677,put,koymak
678,quality,kalite
679,question,soru
680,quickly,hızlıca
681,quite,epeyce
682,race,ırk
683,radio,radyo
684,raise,artırmak
685,range,menzil
