English,Turkish
Have a roof over your head,başını sokacak bir evi olmak
Home is where the heart is,ev içinizde kendinizi evde hissettiğiniz yerdir
Home sweet home,evim güzel evim
Live out of a suitcase,evini sırtında taşımak
Make yourself at home,kendi evinizdeymiş gibi hareket edin
There’s no place like home,insanın evi gibisi yok
access (n),"ulaşım, erişim"
admire (v),hayranlık duymak
belongings (n),şahsi eşyalar
cope with (ph.v),başa çıkmak
cramped (adj),dar
currently (adv),şu anda
drawback (n),dezavantaj
drop by (ph. v.),uğramak
expenses (n),giderler
fill up (ph v),doldurmak
furnished (adj),döşeli
get tired of (ph v),bezmek
get used to (ph v),alışmak
go shopping (collocation),alışverişe çıkmak
heating (n),ısınma
inviting (adj),davetkar
isolated (adj),izole
lighthouse (n),deniz feneri
location (n),konum
loneliness (n),yalnızlık
luxurious (adj) / luxury (n),lüks / konfor
narrow (adj),yetersiz / dar
out of one’s mind (collocation),çok öfkeli olmak
peace and quiet (collocation),sükunet ve sakinlik
permanent (adj),kalıcı
recreational (adj),eğlendirici
regret (v),pişman olmak
residence (n),ikamet edilen yer
spacious (adj),ferah
stairway (n),merdiven
temporary (adj),geçici
tower (n),kule
wisely (adv),akıllıca
bungalow (n),tek katlı kır evi
check in (ph v),giriş yapmak
check out (ph v),hesabını ödeyip ayrılmak (otelden vb)
cottage (n),kulübe
country (n),ülke
drop by (ph v),uğramak
inform (v),bilgilendirmek
lane (n),şerit
move in (ph v),taşınmak
move out (ph v),taşınmak
outskirts (n),kenar mahalleler
put sb up (ph v),misafir etmek
rural (adj),kırsal
settle in (ph v),alışmak
suburb (n),kenar mahalle
suburban (adj),banliyöde oturan
urban (adj),şehirli
adjust (v),ayarlamak
anxiety (n) / anxious (adj),endişe / endişeli
appreciate (v),takdir etmek
bakery (n),fırın
become aware of (collocation),farkına varmak
catch up on (ph v),gündemi yakalamak
cause (v),sebebiyet vermek
community (n),topluluk
discovery (n),keşif
enthusiasm (n),heves
fascinated (adj) / fascinating (adj) / fascinate (v),büyülenmiş / büyüleyici / büyülemek
frustrated (adj),amacına ulaşamamış
get down to business (ph v),asıl konuya gelmek
get involved (collocation),dahil olmak
get over (ph v),aşmak
get rid of (ph v),kurtulmak
get to know (ph v),"tanımak, öğrenmek"
homesickness (n),vatan özlemi
impatient (adj),sabırsız
initial (adj),baştaki
loved ones (collocation),yakın ilişkiler
miss out on (ph v),fırsat kaçırmak
native (adj),yerli
no longer (adv),bundan böyle
observe (v) / observation (n),gözlemlemek / gözlem
obtain (v),elde etmek
occur (v),meydana gelmek
period of time (collocation),zaman dilimi
phase (n),aşama
remind (v),hatırlatmak
shock (v) (n),şok etmek / şok
sign up (ph v),kaydolmak
study (v),çalışmak
surroundings (n),çevre
turn into (ph v),dönüşmek
bungee jump (collocation),bungee jump
endurance (n),katlanma
go without food (collocation),yemeksiz kalmak
hold one’s breath (collocation),nefesini tutmak
rope (n),halat
run a marathon (collocation),maraton koşmak
abandoned (adj),terk edilmiş
barely (adv),cesurca
branch (n),branş
breathe (v),nefes almak
catastrophic (adj),felaket
coconut (n),hindistan cevizi
cover (v) (travel a distance),yol almak
crawl (v),emeklemek
damage (v & n),zarar vermek / zarar
destroy (v) / destruction (n),yok etmek / tahribat
dig (v),kazmak
drag (v),sürüklemek
drop (temperature) (v),
drown (v),suda boğulmak
eventually (adv),eninde sonunda
extreme conditions (collocation),şiddetli/ağır/sert şartlar
float (v),batmadan yüzmek
footprint (n),ayak izi
force (v),zorlamak
form (v),biçimlendirmek
harm (v & n) / harmful (adj),zarar vermek & zarar / zararlı
hiker (n),uzun yürüyüş yapan kimse
injure (v) / injury (n), sakatlamak / sakatlık
one by one (collocation),bir bir
oxygen (n),oksijen
passerby (n),gelen geçen
ranger (n),orman bekçisi
recover (v),iyileşmek
ruin (v),mahvetmek
several (adj),birçok
shelter (n),barınak
signal (v),sinyal vermek
spot (v),ayırt etmek
strike (tsunami),vurmak
stunned (adj),sersemlemiş
supplies (n),malzeme
survivor (n),hayatta kalan
trapped (adj),kapana kısılmış
treat (v) (sb in hospital),tedavi etmek
wave (v),el sallamak
ambulance (n),ambulans
block (v),engellemek
bystander (n),görgü tanığı
emergency services (collocation),acil servisler
jungle (n),orman
land (v),karaya ayak basmak
possibility (n),olasılık
resident (n),sakin
skid (v),patinaj yapmak
slide (v),kay(dır)mak
violent (adj),şiddetli
blizzard (n),kar fırtınası
blow (v),esmek
boiling (adj),kaynar
breeze (n),esinti
chilly (adj),serin
clear skies (collocation),açık gökyüzü
drizzle (n),çiseleyen yağmur
dull (adj),donuk
foggy (adj),sisli
freezing (adj),dondurucu
icy (adj),buzlu
lightning (n),"şimşek, yıldırım"
mild (adj),ılıman
overcast (adj),kapalı hava
pour (v),dökmek
shine (v),parlamak
shower (v) (n),yağmur yağmak / sağanak
snowstorm (n),kar fırtınası
thunder (n),gök gürültüsü
swollen (adj),şişik
amateur (adj),amatör
annual (adj),yıllık
assist (v),yardım etmek
assistant (n),asistan
attendant (n),katılımcı
breathtaking (adj),nefes kesici
challenge (n),mücadele
complete (v),yarışmak
competitor (n),yarışmacı
contestant (n),yarışmacı
conventional (adj),geleneksel
cyclist (n),bisikletçi
distance (n),mesafe
edit (v),düzenlemek
editor (n),düzenleyen
endure (v),tahammül etmek
extraordinary (adj),sıra dışı
fatal (adj),ölümcül
finalist (n),fianlist
finish line (n),bitiş çizgisi
instructor (n),eğitmen
journal (n),dergi
journalist (n),gazeteci
land (n),"kara, arazi"
landscape (n),manzara
lead (v),öncülük etmek
leader (n),lider
loser (n),kaybeden
majority (n),çoğunluk
measures (n),önlemler
mud (n),"çamur, iftira"
organizer (n),düzenleyici
participant (n),katılımcı
participate (v),katılmak
professional (adj),profesyonel
race (n),yarış
rally (n),ralli
reality (n),gerçeklik
remain (v),geriye kalmak
security (n),güvenlik
specifically (adv),spesifik olarak
spectator (n),izleyici
test (v),denemek
tough (adj),zorlu
trainer (person) (n),antrenör
bandage (v),sargı
be in luck (collocation),şanslı olmak
be in shock (collocation),şokta olmak
be over (collocation),tamam olmak
bear (n),ayı
camp (v),kamp yapmak
chase (v),peşinde olmak
cliff (n),uçurum
edge (n),köşe
fog (n),sis
hang (v),asmak
hold on (phr v),bekleme
light a fire (collocation),ateş yakmak
relieved (adj),rahatlamış
scared stiff (collocation),ödü kopmuş/patlamış
shake with fear (collocation),korkudan titremek
signal (v) (n),sinyal vermek / sinyal
swollen (adj),kabarık
thick (adj),kalın
"Oh, dear!",hay Allah!
What’s up with you?,sizden n'aber?
thrilled (adj),heyecanlanmış
participate (v),katılmak
incident (n),hadise
devastated (adj),harap
surgery (n),ameliyat
lead (v),öncülük etmek
yard (n),bahçe
title (n),başlık
to be exact (collocation),tam olarak
book a flight (collocation),uçak bileti ayırtmak
departures (n),gidiş
attention (n),dikkat
announcement (n),duyuru
patience (n),sabır
proceed (v),devam etmek
sight (n),görünüş
insurance (n),sigorta
broaden the mind (collocation),zihni genişletmek
globetrotting (v),dünya turu
accommodation(n)/accommodate (v),konaklama / konaklamak
achievement (n) / achieve (n),başarı / başarmak
adventurer (n),maceracı
article (n),madde
attempt (n),girişim
benefit (v) (n),yararlanmak / yarar
brave (adj),cesur
circle (v) (n), çevresini dolaşmak / daire
complete (v),tamamlamak
courage (adj),cesur
crew (n),mürettebat
cruise (n),gemi gezisi
despite,rağmen
development (n),gelişim
excursion (n),kısa yolculuk
expedition (n),keşif gezisi
globe (n),gezegen
hitchhiking (n),otostop
hold the record (collocation),rekoru elinde bulundurmak
journey (n),yolculuk
presentation (n),sunum
prove (v),kanıtlamak
provide (v),sağlamak
publish (n),yayımlamak
remarkable (adj),dikkat çekici
sail (v) / sailor (n),denize açılmak / denizci
