English,Turkish
a,A
ability,yetenek
able,hünerli
about,hakkında
above,üstünde
accept,kabul etmek
according,binaen
account,hesap
across,karşısında
act,davranmak
action,aksiyon
activity,aktivite
actually,Aslında
add,eklemek
address,adres
administration,yönetim
admit,itiraf etmek
adult,yetişkin
affect,etkilemek
after,sonrasında
again,Tekrar
against,aykırı
age,yaş
agency,Ajans
agent,ajan
ago,evvel
agree,kabul etmek
agreement,anlaşma
ahead,ilerde
air,hava
all,Tümü
allow,izin vermek
almost,neredeyse
alone,yalnız
along,birlikte
already,çoktan
also,Ayrıca
although,rağmen
always,Her zaman
American,Amerikan
among,arasında
amount,miktar
analysis,analiz
and,Ve
animal,hayvan
another,bir diğer
answer,cevap
any,herhangi
anyone,herhangi biri
anything,herhangi bir şey
appear,belli olmak
apply,uygula
approach,yaklaşmak
area,alan
argue,tartışmak
arm,kol
around,etrafında
arrive,varmak
art,sanat
article,madde
artist,sanatçı
as,gibi
ask,sormak
assume,farz etmek
at,de
attack,saldırı
attention,dikkat
attorney,avukat
audience,kitle
author,yazar
authority,yetki
available,mevcut
avoid,kaçınmak
away,uzak
baby,Bebek
back,geri
bad,kötü
bag,çanta
ball,top
bank,banka
bar,çubuk
base,temel
be,olmak
beat,vurmak
beautiful,Güzel
because,Çünkü
become,haline gelmek
bed,yatak
before,önce
begin,başlamak
behavior,davranış
behind,arka
believe,inanmak
benefit,fayda
best,en iyi
better,daha iyi
between,arasında
beyond,öte
big,büyük
bill,fatura
billion,milyar
bit,biraz
black,siyah
blood,kan
blue,mavi
board,pano
body,vücut
book,kitap
born,doğmak
both,ikisi birden
box,kutu
boy,erkek çocuk
break,kırmak
bring,getirmek
brother,Erkek kardeş
budget,bütçe
build,inşa etmek
building,bina
business,işletme
but,Ancak
buy,satın almak
by,ile
call,Arama
camera,kamera
campaign,kampanya
can,olabilmek
cancer,kanser
candidate,aday
capital,başkent
car,araba
card,kart
care,bakım
career,kariyer
carry,taşımak
case,dava
catch,yakalamak
cause,neden
cell,hücre
center,merkez
central,merkezi
century,yüzyıl
certain,kesin
certainly,kesinlikle
chair,sandalye
challenge,meydan okumak
chance,şans
change,değiştirmek
character,karakter
charge,şarj
check,kontrol etmek
child,çocuk
choice,seçenek
choose,seçmek
church,kilise
citizen,vatandaş
city,şehir
civil,sivil
claim,iddia
class,sınıf
clear,temizlemek
clearly,Açıkça
close,kapalı
coach,koç
cold,soğuk
collection,Toplamak
college,kolej
color,renk
come,Gelmek
commercial,reklam
common,yaygın
community,toplum
company,şirket
compare,karşılaştırmak
computer,bilgisayar
concern,kaygı
condition,durum
conference,konferans
Congress,Kongre
consider,dikkate almak
consumer,tüketici
contain,içermek
continue,devam etmek
control,kontrol
cost,maliyet
could,abilir
country,ülke
couple,çift
course,kurs
court,mahkeme
cover,kapak
create,yaratmak
crime,suç
cultural,kültürel
culture,kültür
cup,bardak
current,akım
customer,müşteri
cut,kesmek
dark,karanlık
data,veri
daughter,kız çocuğu
day,gün
dead,ölü
deal,anlaşmak
death,ölüm
debate,çekişme
decade,on yıl
decide,karar vermek
decision,karar
deep,derin
defense,savunma
degree,derece
Democrat,Demokrat
democratic,demokratik
describe,betimlemek
design,tasarım
despite,aksine
detail,detay
determine,belirlemek
develop,geliştirmek
development,gelişim
die,ölmek
difference,fark
different,farklı
difficult,zor
dinner,akşam yemeği
direction,yön
director,müdür
discover,keşfetmek
discuss,tartışmak
discussion,tartışma
disease,hastalık
do,Yapmak
doctor,doktor
dog,köpek
door,kapı
down,aşağı
draw,çizmek
dream,rüya
drive,sürmek
drop,düşürmek
drug,ilaç
during,sırasında
each,her biri
early,erken
east,doğu
easy,kolay
eat,yemek yemek
economic,ekonomik
economy,ekonomi
edge,kenar
education,eğitim
effect,etki
effort,çaba
eight,sekiz
either,herhangi biri
election,seçim
else,başka
employee,çalışan
end,son
energy,enerji
enjoy,Eğlence
enough,yeterli
enter,girmek
entire,bütün
environment,çevre
environmental,çevresel
especially,özellikle
establish,kurmak
even,eşit
evening,akşam
event,etkinlik
ever,durmadan
every,Her
everybody,herkes
everyone,herkes
everything,her şey
evidence,kanıt
exactly,Kesinlikle
example,örnek
executive,yönetici
exist,var olmak
expect,beklemek
experience,deneyim
expert,uzman
explain,açıklamak
eye,göz
face,yüz
